ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-02-19,1997.48920412327,-1402.2435122358347,5144.205018321308,1997.48920412327,1997.48920412327,-191.3747991047359,-191.3747991047359,-191.3747991047359,-191.3747991047359,-191.3747991047359,-191.3747991047359,0.0,0.0,0.0,1806.114405018534,1806,-1402,5144
2020-02-20,2089.207753569665,-555.5689976273239,5592.304162018676,2089.207753569665,2089.207753569665,388.5869411493272,388.5869411493272,388.5869411493272,388.5869411493272,388.5869411493272,388.5869411493272,0.0,0.0,0.0,2477.794694718992,2477,-555,5592
2020-02-21,2180.9263030160587,67.50253317947013,6257.87898098369,2180.9263030160587,2180.9263030160587,874.8016233769604,874.8016233769604,874.8016233769604,874.8016233769604,874.8016233769604,874.8016233769604,0.0,0.0,0.0,3055.727926393019,3055,67,6257
2020-02-22,2272.644794707926,72.66676733891963,5920.265501916475,2272.644794707926,2272.644794707926,727.2987974325946,727.2987974325946,727.2987974325946,727.2987974325946,727.2987974325946,727.2987974325946,0.0,0.0,0.0,2999.9435921405206,2999,72,5920
2020-02-23,2364.3632863997937,-852.9838822093549,5153.608572317486,2364.3632863997937,2364.3632863997937,-165.70172477356826,-165.70172477356826,-165.70172477356826,-165.70172477356826,-165.70172477356826,-165.70172477356826,0.0,0.0,0.0,2198.661561626225,2198,-852,5153
2020-02-24,2456.081778091661,-1378.492652800591,4419.416812818166,2456.081778091661,2456.081778091661,-905.3214847584636,-905.3214847584636,-905.3214847584636,-905.3214847584636,-905.3214847584636,-905.3214847584636,0.0,0.0,0.0,1550.7602933331973,1550,-1378,4419
2020-02-25,2547.8002697835286,-1051.4601137037553,4831.416054639906,2547.8002697835286,2547.8002697835286,-728.2893533220872,-728.2893533220872,-728.2893533220872,-728.2893533220872,-728.2893533220872,-728.2893533220872,0.0,0.0,0.0,1819.5109164614414,1819,-1051,4831
2020-02-26,2639.518761475396,-699.5857773938329,5533.609915599659,2639.518761475396,2639.518761475396,-191.3747991043732,-191.3747991043732,-191.3747991043732,-191.3747991043732,-191.3747991043732,-191.3747991043732,0.0,0.0,0.0,2448.1439623710226,2448,-699,5533
2020-02-27,2731.237253167263,248.45934640156935,6164.249401580828,2731.237253167263,2731.237253167263,388.586941147501,388.586941147501,388.586941147501,388.586941147501,388.586941147501,388.586941147501,0.0,0.0,0.0,3119.824194314764,3119,248,6164
2020-02-28,2822.956318973331,867.9062690905251,6636.829459191407,2822.956318973331,2822.956318973331,874.8016233771948,874.8016233771948,874.8016233771948,874.8016233771948,874.8016233771948,874.8016233771948,0.0,0.0,0.0,3697.757942350526,3697,867,6636
